x,y,g,id,date
-87.657471,41.882969,20.9928125,ndUIzI1dzgN-4KDtY2tBew,2017-07
-87.656465,41.882971,22.2786458333,9UBVAbroFYDCdHQbKCcqRA,2018-07
-87.655611,41.882997,10.1930208333,xE-FTD6zBVmEFu_1hGBoFw,2018-07
-87.654673,41.883022,26.7515625,K27T0uqyIzhEBYMwRJSIZg,2017-07
-87.653859,41.883034,14.3652083333,jWHLIf1ohOc6iZ2UMnOHYA,2017-07
-87.652903,41.883046,15.9277083333,t8GoNzLRmfF2vYU680z8Kw,2017-07
-87.652034,41.883060,5.53270833333,ObOtSQfJWu5xL02q5AQp7A,2017-09
-87.651201,41.883075,15.9496875,Bz1vKt7EBbuayE9WlylEgg,2017-09
-87.650268,41.883099,12.8658333333,IFxLWGhZIfMQzAtnwIsplQ,2017-09
-87.649319,41.883121,15.5911458333,ThL97-klX2oxtbJ7MuX9Lg,2018-06
-87.648400,41.883135,10.9497916667,fPVV9ZnlF0fFM9iwUf7uyA,2018-06
-87.632824,41.913188,12.3685416667,0Zqt8MIyKSFzt4LhCNDJMQ,2018-06
-87.627352,41.886832,3.83677083333,JmWp37fRVWRRCDP1cVnOtQ,2018-07
-87.626490,41.886810,12.7784375,xC7P6rHDyIpKeS7qlMXiOg,2018-07
-87.878734,41.982544,10.4667708333,S9kcil9jTRSHrtmXsnNLpg,2017-08
-87.878412,41.983218,21.2980208333,d26pGRcXg-aD8DnWgPnmmg,2015-07
-87.877683,41.983213,25.8616666667,izARkD5ZK9bVLvebLNZIwg,2015-07
-87.877584,41.982501,24.5821875,Dzyaq5oswl_GPjtitRos0A,2015-07
-87.877691,41.981848,25.5138541667,IXcNLu0KiEuKNMi961Y4pQ,2015-07
-87.879009,41.985248,14.5272916667,lHC5Au_Z0FrvNioMM5W2cg,2007-09
-87.879335,41.984649,21.9116666667,NJRTOqjYCtJVZ4w-bdexoQ,2007-09
-87.879702,41.984088,25.0075,FekKQyFvxhmevGmtkHaUmQ,2007-09
-87.880137,41.983453,23.7340625,2EDREY2d3bKEWhW3mT5Srw,2007-09
-87.880532,41.982891,22.0392708333,YomDQmXysIuR5Dohm3IKBQ,2007-09
-87.880966,41.982280,20.4469791667,VQ054siylu7Z-lvZUh25zw,2007-09
-87.881302,41.981697,21.7333333333,4QbYnF437P92dYKZAmenEA,2007-09
-87.881243,41.980992,25.2214583333,0a2lwmZ1iFqQLK7B67YSaQ,2007-09
-87.881278,41.980362,21.2975,Izph4lzy2548y8UKgEY1jQ,2007-09
-87.878449,41.975869,8.20625,RrfF-SVbfFTCuFu-HVDIDQ,2017-08
-87.886681,41.980019,14.0828125,t1D3n0qm_qHc94Nnz4F23w,2015-07
-87.887472,41.979789,29.5109375,c1qr3sV3EhaUTDpeDQxqGw,2015-07
-87.887954,41.979124,26.766875,sHVj0kI_wYgJ4ONVukYKJg,2015-07
-87.888429,41.978607,30.9194791667,OKhLRWKxLI-ze4dkD8AmXw,2015-07
-87.889102,41.978177,32.75625,-cRLeIroUYL6vXtfZxk3yQ,2015-07
-87.889820,41.977720,35.2645833333,ZRDaMGFjonB8Qtx_pRm2ug,2015-07
-87.890494,41.977521,29.9264583333,nuxLK2UWDRRTuWTSCyk88w,2015-07
-87.891370,41.977824,28.3610416667,7dyPdkb7RRBF1x-lDkDSag,2015-07
